context_length,horizon,freq,num_samples,rope_scale,starting_capital,threshold,fee_rate,runtime_seconds,equity_no_tc,equity_tc,fee,cum_fee,final_equity_no_tc,final_equity_tc,total_fees_paid,arc,asd,mdd,ir_star,ir_starstar,pct_long,pct_short,pct_flat,trades_long,trades_short,trades_flat,trades_total,run_name
512,1,1H,5,1.5,100000.0,0.005,0.001,177.69003304094076,19489.454005898482,14771.85800677995,0.0,9644.7927392911,19489.454005898482,14771.85800677995,9644.7927392911,-0.7793075509978659,0.8129445277684318,0.8239439597794843,-0.9586232816365701,-0.9066907440424374,0.5772109202065985,0.3406767155054285,0.08211236428797301,65,74,127,266,ctx512_h1_s5_rope1.5
512,1,1H,10,1.5,100000.0,0.005,0.001,179.46082050004043,19489.454005898482,14771.85800677995,0.0,9644.7927392911,19489.454005898482,14771.85800677995,9644.7927392911,-0.7793075509978659,0.8129445277684318,0.8239439597794843,-0.9586232816365701,-0.9066907440424374,0.5772109202065985,0.3406767155054285,0.08211236428797301,65,74,127,266,ctx512_h1_s10_rope1.5
512,1,1H,20,1.5,100000.0,0.005,0.001,174.18503275001422,19489.454005898482,14771.85800677995,0.0,9644.7927392911,19489.454005898482,14771.85800677995,9644.7927392911,-0.7793075509978659,0.8129445277684318,0.8239439597794843,-0.9586232816365701,-0.9066907440424374,0.5772109202065985,0.3406767155054285,0.08211236428797301,65,74,127,266,ctx512_h1_s20_rope1.5
512,3,1H,5,1.5,100000.0,0.005,0.001,486.7596199589316,19412.03092207567,14713.175870259785,0.0,9644.7927392911,19412.03092207567,14713.175870259785,9644.7927392911,-0.7801879572451189,0.8130102653282981,0.8239439597794843,-0.9596286670870935,-0.9086670526584247,0.5773326304691618,0.34053769109119664,0.08212967843964154,65,74,127,266,ctx512_h3_s5_rope1.5
512,3,1H,10,1.5,100000.0,0.005,0.001,490.76681708404794,19412.03092207567,14713.175870259785,0.0,9644.7927392911,19412.03092207567,14713.175870259785,9644.7927392911,-0.7801879572451189,0.8130102653282981,0.8239439597794843,-0.9596286670870935,-0.9086670526584247,0.5773326304691618,0.34053769109119664,0.08212967843964154,65,74,127,266,ctx512_h3_s10_rope1.5
512,3,1H,20,1.5,100000.0,0.005,0.001,489.8852496249601,19412.03092207567,14713.175870259785,0.0,9644.7927392911,19412.03092207567,14713.175870259785,9644.7927392911,-0.7801879572451189,0.8130102653282981,0.8239439597794843,-0.9596286670870935,-0.9086670526584247,0.5773326304691618,0.34053769109119664,0.08212967843964154,65,74,127,266,ctx512_h3_s20_rope1.5
512,5,1H,5,1.5,100000.0,0.005,0.001,810.3459322089329,19351.389604517706,14667.213323949396,0.0,9644.7927392911,19351.389604517706,14667.213323949396,9644.7927392911,-0.7808927917282258,0.8130830638819468,0.8239439597794843,-0.9604096142403541,-0.9102280998182185,0.57745439207002,0.3403986080354318,0.08214699989454814,65,74,127,266,ctx512_h5_s5_rope1.5
512,5,1H,10,1.5,100000.0,0.005,0.001,821.2629557079636,19351.389604517706,14667.213323949396,0.0,9644.7927392911,19351.389604517706,14667.213323949396,9644.7927392911,-0.7808927917282258,0.8130830638819468,0.8239439597794843,-0.9604096142403541,-0.9102280998182185,0.57745439207002,0.3403986080354318,0.08214699989454814,65,74,127,266,ctx512_h5_s10_rope1.5
512,5,1H,20,1.5,100000.0,0.005,0.001,811.9163246660028,19351.389604517706,14667.213323949396,0.0,9644.7927392911,19351.389604517706,14667.213323949396,9644.7927392911,-0.7808927917282258,0.8130830638819468,0.8239439597794843,-0.9604096142403541,-0.9102280998182185,0.57745439207002,0.3403986080354318,0.08214699989454814,65,74,127,266,ctx512_h5_s20_rope1.5
512,20,1H,5,1.5,100000.0,0.005,0.001,3020.471549083013,19441.336823422946,14735.388017061425,0.0,9644.7927392911,19441.336823422946,14735.388017061425,9644.7927392911,-0.7804786912406413,0.8136365793528649,0.8239439597794843,-0.9592472991583095,-0.9086444141462822,0.5783692437684833,0.33935361216730037,0.08227714406421631,65,74,127,266,ctx512_h20_s5_rope1.5
512,20,1H,10,1.5,100000.0,0.005,0.001,3047.83695024997,19441.336823422946,14735.388017061425,0.0,9644.7927392911,19441.336823422946,14735.388017061425,9644.7927392911,-0.7804786912406413,0.8136365793528649,0.8239439597794843,-0.9592472991583095,-0.9086444141462822,0.5783692437684833,0.33935361216730037,0.08227714406421631,65,74,127,266,ctx512_h20_s10_rope1.5
512,20,1H,20,1.5,100000.0,0.005,0.001,3069.467947291909,19441.336823422946,14735.388017061425,0.0,9644.7927392911,19441.336823422946,14735.388017061425,9644.7927392911,-0.7804786912406413,0.8136365793528649,0.8239439597794843,-0.9592472991583095,-0.9086444141462822,0.5783692437684833,0.33935361216730037,0.08227714406421631,65,74,127,266,ctx512_h20_s20_rope1.5
