context,h,best_variant,best_threshold,score,ir_star,final_equity_no_tc,final_equity_tc
128,1,step1,0.025,1.2463166599021036,1.2463166599021036,118535.76987926933,91384.6635744701
128,3,mean_horizon,0.025,1.5014462850634027,1.5014462850634027,125408.04805731664,94957.24127760458
128,5,mean_horizon,0.025,2.191921568807282,2.191921568807282,140182.57694441476,105087.52579394895
128,20,step1,0.025,1.2480974092593031,1.2480974092593031,118535.76987926933,91384.6635744701
256,1,step1,0.01,1.7765724135387777,1.7765724135387777,155343.8050279856,46663.77717343975
256,3,step1,0.01,1.7769132004734145,1.7769132004734145,155343.8050279856,46663.77717343975
256,5,step1,0.01,1.7772541702678712,1.7772541702678712,155343.8050279856,46663.77717343975
256,20,step1,0.01,1.7798172881978012,1.7798172881978012,155343.8050279856,46663.77717343975
512,1,step1,0.01,1.4752961314890245,1.4752961314890245,145968.4645126559,44823.433417266315
512,3,step1,0.01,1.475564475460425,1.475564475460425,145968.4645126559,44823.433417266315
512,5,step1,0.01,1.4758329579568694,1.4758329579568694,145968.4645126559,44823.433417266315
512,20,mean_horizon,0.025,1.8489928540684888,1.8489928540684888,132917.98138483177,96889.11082950448
1024,1,step1,0.02,1.5394443061971308,1.5394443061971308,129617.8561986241,86174.42083590815
1024,3,step1,0.02,1.5396960002245912,1.5396960002245912,129617.8561986241,86174.42083590815
1024,5,step1,0.02,1.5399478140237477,1.5399478140237477,129617.8561986241,86174.42083590815
1024,20,step1,0.02,1.5418402446343271,1.5418402446343271,129617.8561986241,86174.42083590815
2048,1,step1,0.01,1.9319011499939307,1.9319011499939307,159349.67705109413,47107.22930460292
2048,3,step1,0.01,1.9322797552652016,1.9322797552652016,159349.67705109413,47107.22930460292
2048,5,step1,0.01,1.932658566823656,1.932658566823656,159349.67705109413,47107.22930460292
2048,20,step1,0.01,1.9355062469762632,1.9355062469762632,159349.67705109413,47107.22930460292
